Age,Sex,mu,sigma,P5,P25,P50,P75,P95
11.00821918,F,2.844353688,0.880210015,-0.21925064,1.199233255,2.05071797,2.74531729,3.632205346
11.01521796,F,2.844622472,0.880108013,-0.217775814,1.200325231,2.051580129,2.745991976,3.63264066
11.02221674,F,2.844891101,0.880006093,-0.21630133,1.201416978,2.052442127,2.746666556,3.633075938
11.02921552,F,2.845159576,0.879904256,-0.214827188,1.202508494,2.053303963,2.74734103,3.633511181
11.0362143,F,2.845427897,0.879802501,-0.21335339,1.203599782,2.054165637,2.748015397,3.633946388
11.04321308,F,2.845696063,0.87970083,-0.211879933,1.20469084,2.055027149,2.748689657,3.634381559
11.05021186,F,2.845964075,0.879599241,-0.21040682,1.205781668,2.0558885,2.749363811,3.634816694
11.05721064,F,2.846231932,0.879497735,-0.208934049,1.206872266,2.056749689,2.750037859,3.635251793
11.06420941,F,2.846499635,0.879396311,-0.20746162,1.207962636,2.057610716,2.7507118,3.635686857
11.07120819,F,2.846767184,0.87929497,-0.205989533,1.209052775,2.058471581,2.751385635,3.636121884
11.07820697,F,2.847034579,0.879193712,-0.204517789,1.210142686,2.059332285,2.752059363,3.636556876
11.08520575,F,2.847301819,0.879092536,-0.203046386,1.211232367,2.060192827,2.752732985,3.636991832
11.09220453,F,2.847568904,0.878991443,-0.201575326,1.212321818,2.061053207,2.7534065,3.637426751
11.09920331,F,2.847835836,0.878890432,-0.200104608,1.213411041,2.061913426,2.754079909,3.637861635
11.10620209,F,2.848102613,0.878789504,-0.198634231,1.214500034,2.062773483,2.754753211,3.638296482
11.11320087,F,2.848369235,0.878688658,-0.197164197,1.215588797,2.063633378,2.755426407,3.638731294
11.12019965,F,2.848635704,0.878587895,-0.195694504,1.216677332,2.064493112,2.756099496,3.639166069
11.12719843,F,2.848902018,0.878487214,-0.194225154,1.217765637,2.065352684,2.756772479,3.639600808
11.13419721,F,2.849168177,0.878386615,-0.192756144,1.218853713,2.066212095,2.757445355,3.640035511
11.14119599,F,2.849434182,0.878286099,-0.191287477,1.21994156,2.067071343,2.758118125,3.640470178
11.14819477,F,2.849700033,0.878185665,-0.189819151,1.221029178,2.067930431,2.758790788,3.640904808
11.15519355,F,2.849965729,0.878085314,-0.188351166,1.222116567,2.068789356,2.759463344,3.641339402
11.16219233,F,2.850231272,0.877985044,-0.186883523,1.223203727,2.06964812,2.760135794,3.64177396
11.16919111,F,2.850496659,0.877884857,-0.185416221,1.224290658,2.070506723,2.760808138,3.642208482
11.17618989,F,2.850761893,0.877784752,-0.18394926,1.22537736,2.071365164,2.761480375,3.642642967
11.18318867,F,2.851026972,0.87768473,-0.182482641,1.226463833,2.072223443,2.762152505,3.643077415
11.19018745,F,2.851291896,0.877584789,-0.181016362,1.227550077,2.073081561,2.762824529,3.643511828
11.19718623,F,2.851556666,0.877484931,-0.179550425,1.228636092,2.073939517,2.763496446,3.643946204
11.20418501,F,2.851821282,0.877385155,-0.178084829,1.229721879,2.074797312,2.764168256,3.644380543
11.21118379,F,2.852085744,0.877285461,-0.176619573,1.230807436,2.075654945,2.76483996,3.644814846
11.21818257,F,2.852350051,0.877185849,-0.175154659,1.231892765,2.076512417,2.765511558,3.645249113
11.22518135,F,2.852614204,0.877086319,-0.173690085,1.232977865,2.077369728,2.766183048,3.645683342
11.23218013,F,2.852878202,0.876986871,-0.172225852,1.234062736,2.078226876,2.766854432,3.646117536
11.2391789,F,2.853142046,0.876887505,-0.17076196,1.235147379,2.079083864,2.76752571,3.646551692
11.24617768,F,2.853405736,0.876788221,-0.169298408,1.236231793,2.07994069,2.768196881,3.646985812
11.25317646,F,2.853669271,0.87668902,-0.167835197,1.237315978,2.080797354,2.768867945,3.647419896
11.26017524,F,2.853932652,0.8765899,-0.166372326,1.238399935,2.081653857,2.769538902,3.647853942
11.26717402,F,2.854195879,0.876490861,-0.164909795,1.239483664,2.082510199,2.770209753,3.648287952
11.2741728,F,2.854458951,0.876391905,-0.163447605,1.240567163,2.083366379,2.770880497,3.648721925
11.28117158,F,2.854721869,0.876293031,-0.161985755,1.241650435,2.084222398,2.771551135,3.649155861
11.28817036,F,2.854984632,0.876194238,-0.160524245,1.242733477,2.085078256,2.772221666,3.649589761
11.29516914,F,2.855247242,0.876095527,-0.159063076,1.243816292,2.085933952,2.77289209,3.650023624
11.30216792,F,2.855509696,0.875996898,-0.157602246,1.244898878,2.086789487,2.773562407,3.650457449
11.3091667,F,2.855771997,0.875898351,-0.156141757,1.245981236,2.08764486,2.774232618,3.650891238
11.31616548,F,2.856034143,0.875799886,-0.154681607,1.247063365,2.088500072,2.774902722,3.65132499
11.32316426,F,2.856296135,0.875701502,-0.153221797,1.248145266,2.089355123,2.77557272,3.651758705
11.33016304,F,2.856557972,0.8756032,-0.151762327,1.249226939,2.090210012,2.77624261,3.652192383
11.33716182,F,2.856819655,0.875504979,-0.150303197,1.250308383,2.09106474,2.776912394,3.652626024
11.3441606,F,2.857081183,0.87540684,-0.148844406,1.2513896,2.091919307,2.777582071,3.653059628
11.35115938,F,2.857342558,0.875308783,-0.147385955,1.252470588,2.092773712,2.778251642,3.653493195
11.35815816,F,2.857603778,0.875210807,-0.145927843,1.253551348,2.093627957,2.778921106,3.653926725
11.36515694,F,2.857864843,0.875112913,-0.144470071,1.25463188,2.09448204,2.779590463,3.654360217
11.37215572,F,2.858125754,0.875015101,-0.143012638,1.255712184,2.095335961,2.780259713,3.654793673
11.3791545,F,2.858386511,0.874917369,-0.141555545,1.25679226,2.096189722,2.780928856,3.655227091
11.38615328,F,2.858647113,0.87481972,-0.14009879,1.257872108,2.097043321,2.781597893,3.655660472
11.39315206,F,2.858907561,0.874722152,-0.138642375,1.258951727,2.097896759,2.782266823,3.656093816
11.40015084,F,2.859167855,0.874624665,-0.137186299,1.260031119,2.098750036,2.782935646,3.656527122
11.40714962,F,2.859427994,0.874527259,-0.135730562,1.261110283,2.099603151,2.783604362,3.656960391
11.41414839,F,2.859687979,0.874429935,-0.134275164,1.26218922,2.100456106,2.784272972,3.657393623
11.42114717,F,2.85994781,0.874332693,-0.132820105,1.263267928,2.101308899,2.784941475,3.657826818
11.42814595,F,2.860207486,0.874235531,-0.131365385,1.264346408,2.102161531,2.785609871,3.658259975
11.43514473,F,2.860467008,0.874138451,-0.129911004,1.265424661,2.103014002,2.78627816,3.658693094
11.44214351,F,2.860726376,0.874041453,-0.128456961,1.266502686,2.103866311,2.786946342,3.659126177
11.44914229,F,2.860985589,0.873944535,-0.127003257,1.267580483,2.10471846,2.787614418,3.659559221
11.45614107,F,2.861244647,0.873847699,-0.125549891,1.268658053,2.105570448,2.788282386,3.659992229
11.46313985,F,2.861503552,0.873750944,-0.124096864,1.269735395,2.106422274,2.788950248,3.660425198
11.47013863,F,2.861762302,0.87365427,-0.122644175,1.270812509,2.107273939,2.789618003,3.660858131
11.47713741,F,2.862020898,0.873557677,-0.121191825,1.271889396,2.108125443,2.790285651,3.661291025
11.48413619,F,2.862279339,0.873461166,-0.119739813,1.272966055,2.108976786,2.790953193,3.661723882
11.49113497,F,2.862537626,0.873364735,-0.118288139,1.274042486,2.109827968,2.791620627,3.662156701
11.49813375,F,2.862795758,0.873268386,-0.116836804,1.27511869,2.110678989,2.792287955,3.662589483
11.50513253,F,2.863053737,0.873172117,-0.115385806,1.276194667,2.111529849,2.792955175,3.663022227
11.51213131,F,2.86331156,0.87307593,-0.113935147,1.277270416,2.112380548,2.793622289,3.663454933
11.51913009,F,2.86356923,0.872979824,-0.112484826,1.278345938,2.113231086,2.794289296,3.663887602
11.52612887,F,2.863826745,0.872883798,-0.111034842,1.279421232,2.114081462,2.794956196,3.664320232
11.53312765,F,2.864084106,0.872787854,-0.109585196,1.280496299,2.114931678,2.795622989,3.664752825
11.54012643,F,2.864341312,0.87269199,-0.108135888,1.281571139,2.115781733,2.796289675,3.66518538
11.54712521,F,2.864598364,0.872596208,-0.106686918,1.282645752,2.116631627,2.796956255,3.665617897
11.55412399,F,2.864855262,0.872500506,-0.105238286,1.283720137,2.117481359,2.797622727,3.666050376
11.56112277,F,2.865112005,0.872404885,-0.103789991,1.284794295,2.118330931,2.798289093,3.666482818
11.56812155,F,2.865368594,0.872309345,-0.102342033,1.285868226,2.119180342,2.798955351,3.666915221
11.57512033,F,2.865625029,0.872213886,-0.100894413,1.28694193,2.120029592,2.799621503,3.667347586
11.58211911,F,2.865881309,0.872118508,-0.09944713,1.288015406,2.120878681,2.800287547,3.667779914
11.58911789,F,2.866137435,0.87202321,-0.098000185,1.289088656,2.121727609,2.800953485,3.668212203
11.59611666,F,2.866393406,0.871927994,-0.096553577,1.290161678,2.122576376,2.801619316,3.668644454
11.60311544,F,2.866649223,0.871832857,-0.095107306,1.291234473,2.123424982,2.802285039,3.669076667
11.61011422,F,2.866904886,0.871737802,-0.093661372,1.292307042,2.124273428,2.802950656,3.669508842
11.617113,F,2.867160395,0.871642827,-0.092215775,1.293379383,2.125121712,2.803616166,3.669940979
11.62411178,F,2.867415749,0.871547933,-0.090770515,1.294451498,2.125969836,2.804281569,3.670373078
11.63111056,F,2.867670948,0.871453119,-0.089325592,1.295523386,2.126817798,2.804946864,3.670805138
11.63810934,F,2.867925994,0.871358386,-0.087881006,1.296595046,2.1276656,2.805612053,3.67123716
11.64510812,F,2.868180884,0.871263734,-0.086436757,1.29766648,2.128513241,2.806277135,3.671669144
11.6521069,F,2.868435621,0.871169162,-0.084992844,1.298737687,2.129360722,2.80694211,3.67210109
11.65910568,F,2.868690203,0.871074671,-0.083549268,1.299808668,2.130208041,2.807606977,3.672532997
11.66610446,F,2.868944631,0.87098026,-0.082106029,1.300879421,2.131055199,2.808271738,3.672964866
11.67310324,F,2.869198905,0.87088593,-0.080663126,1.301949948,2.131902197,2.808936392,3.673396697
11.68010202,F,2.869453024,0.87079168,-0.079220559,1.303020248,2.132749034,2.809600938,3.673828489
11.6871008,F,2.869706988,0.870697511,-0.077778329,1.304090322,2.13359571,2.810265378,3.674260243
11.69409958,F,2.869960799,0.870603422,-0.076336435,1.305160169,2.134442226,2.810929711,3.674691958
11.70109836,F,2.870214455,0.870509413,-0.074894878,1.306229789,2.13528858,2.811593936,3.675123635
11.70809714,F,2.870467956,0.870415485,-0.073453656,1.307299183,2.136134774,2.812258055,3.675555273
11.71509592,F,2.870721304,0.870321637,-0.072012771,1.30836835,2.136980808,2.812922066,3.675986873
11.7220947,F,2.870974497,0.870227869,-0.070572222,1.309437291,2.13782668,2.81358597,3.676418434
11.72909348,F,2.871227535,0.870134182,-0.069132009,1.310506006,2.138672392,2.814249767,3.676849956
11.73609226,F,2.871480419,0.870040574,-0.067692132,1.311574493,2.139517943,2.814913458,3.67728144
11.74309104,F,2.871733149,0.869947047,-0.06625259,1.312642755,2.140363333,2.815577041,3.677712885
11.75008982,F,2.871985725,0.869853601,-0.064813384,1.31371079,2.141208563,2.816240516,3.678144292
11.7570886,F,2.872238146,0.869760234,-0.063374515,1.314778599,2.142053632,2.816903885,3.67857566
11.76408738,F,2.872490413,0.869666948,-0.06193598,1.315846181,2.14289854,2.817567147,3.679006989
11.77108615,F,2.872742525,0.869573742,-0.060497782,1.316913538,2.143743288,2.818230302,3.679438279
11.77808493,F,2.872994483,0.869480616,-0.059059918,1.317980668,2.144587875,2.818893349,3.679869531
11.78508371,F,2.873246287,0.86938757,-0.057622391,1.319047572,2.145432301,2.819556289,3.680300743
11.79208249,F,2.873497936,0.869294604,-0.056185198,1.320114249,2.146276567,2.820219122,3.680731917
11.79908127,F,2.873749431,0.869201718,-0.054748341,1.321180701,2.147120672,2.820881848,3.681163052
11.80608005,F,2.874000771,0.869108912,-0.05331182,1.322246926,2.147964617,2.821544467,3.681594148
11.81307883,F,2.874251958,0.869016186,-0.051875633,1.323312925,2.148808401,2.822206979,3.682025205
11.82007761,F,2.874502989,0.86892354,-0.050439782,1.324378698,2.149652024,2.822869384,3.682456223
11.82707639,F,2.874753867,0.868830975,-0.049004265,1.325444246,2.150495487,2.823531681,3.682887202
11.83407517,F,2.87500459,0.868738489,-0.047569084,1.326509567,2.151338789,2.824193871,3.683318142
11.84107395,F,2.875255159,0.868646083,-0.046134238,1.327574662,2.152181931,2.824855954,3.683749044
11.84807273,F,2.875505573,0.868553756,-0.044699726,1.328639531,2.153024912,2.82551793,3.684179905
11.85507151,F,2.875755833,0.86846151,-0.043265549,1.329704175,2.153867733,2.826179799,3.684610728
11.86207029,F,2.876005939,0.868369344,-0.041831707,1.330768592,2.154710393,2.82684156,3.685041512
11.86906907,F,2.87625589,0.868277257,-0.0403982,1.331832784,2.155552893,2.827503214,3.685472257
11.87606785,F,2.876505687,0.86818525,-0.038965027,1.33289675,2.156395232,2.828164761,3.685902962
11.88306663,F,2.876755329,0.868093323,-0.037532189,1.33396049,2.157237411,2.828826201,3.686333628
11.89006541,F,2.877004818,0.868001475,-0.036099685,1.335024005,2.158079429,2.829487533,3.686764255
11.89706419,F,2.877254151,0.867909708,-0.034667516,1.336087293,2.158921287,2.830148759,3.687194843
11.90406297,F,2.877503331,0.86781802,-0.033235681,1.337150356,2.159762984,2.830809877,3.687625391
11.91106175,F,2.877752356,0.867726412,-0.03180418,1.338213194,2.160604521,2.831470887,3.6880559
11.91806053,F,2.878001227,0.867634883,-0.030373014,1.339275805,2.161445897,2.832131791,3.688486369
11.92505931,F,2.878249943,0.867543434,-0.028942182,1.340338191,2.162287113,2.832792587,3.6889168
11.93205809,F,2.878498505,0.867452064,-0.027511683,1.341400352,2.163128169,2.833453276,3.68934719
11.93905687,F,2.878746913,0.867360775,-0.026081519,1.342462287,2.163969064,2.834113858,3.689777542
11.94605564,F,2.878995166,0.867269564,-0.024651689,1.343523997,2.164809799,2.834774332,3.690207854
11.95305442,F,2.879243265,0.867178434,-0.023222192,1.344585481,2.165650373,2.8354347,3.690638126
11.9600532,F,2.879491209,0.867087382,-0.02179303,1.34564674,2.166490787,2.836094959,3.691068359
11.96705198,F,2.879738999,0.866996411,-0.020364201,1.346707773,2.167331041,2.836755112,3.691498552
11.97405076,F,2.879986635,0.866905518,-0.018935706,1.347768581,2.168171134,2.837415157,3.691928706
11.98104954,F,2.880234117,0.866814706,-0.017507544,1.348829163,2.169011067,2.838075095,3.69235882
11.98804832,F,2.880481444,0.866723972,-0.016079716,1.349889521,2.16985084,2.838734926,3.692788895
11.9950471,F,2.880728617,0.866633318,-0.014652222,1.350949653,2.170690452,2.839394649,3.69321893
12.00204588,F,2.880975635,0.866542743,-0.013225061,1.352009559,2.171529904,2.840054265,3.693648925
12.00904466,F,2.881222499,0.866452248,-0.011798233,1.353069241,2.172369196,2.840713774,3.69407888
12.01604344,F,2.881469208,0.866361832,-0.010371739,1.354128697,2.173208328,2.841373175,3.694508796
12.02304222,F,2.881715764,0.866271496,-0.008945578,1.355187928,2.174047299,2.842032469,3.694938672
12.030041,F,2.881962165,0.866181238,-0.00751975,1.356246934,2.17488611,2.842691656,3.695368508
12.03703978,F,2.882208411,0.86609106,-0.006094255,1.357305715,2.17572476,2.843350735,3.695798304
12.04403856,F,2.882454503,0.866000961,-0.004669093,1.358364271,2.176563251,2.844009707,3.69622806
12.05103734,F,2.882700441,0.865910942,-0.003244264,1.359422602,2.177401581,2.844668571,3.696657777
12.05803612,F,2.882946225,0.865821001,-0.001819768,1.360480708,2.178239751,2.845327328,3.697087454
12.0650349,F,2.883191854,0.86573114,-0.000395605,1.361538589,2.179077761,2.845985978,3.69751709
12.07203368,F,2.883437328,0.865641358,0.001028225,1.362596245,2.17991561,2.84664452,3.697946687
12.07903246,F,2.883682649,0.865551655,0.002451723,1.363653676,2.1807533,2.847302955,3.698376244
12.08603124,F,2.883927815,0.865462031,0.003874888,1.364710882,2.181590829,2.847961283,3.69880576
12.09303002,F,2.884172826,0.865372486,0.00529772,1.365767863,2.182428198,2.848619503,3.699235237
12.1000288,F,2.884417684,0.86528302,0.00672022,1.36682462,2.183265407,2.849277615,3.699664674
12.10702758,F,2.884662386,0.865193633,0.008142387,1.367881152,2.184102455,2.849935621,3.70009407
12.11402636,F,2.884906935,0.865104325,0.009564222,1.368937459,2.184939344,2.850593518,3.700523426
12.12102513,F,2.885151329,0.865015097,0.010985725,1.369993541,2.185776072,2.851251309,3.700952742
12.12802391,F,2.885395569,0.864925947,0.012406895,1.371049398,2.186612641,2.851908992,3.701382018
12.13502269,F,2.885639654,0.864836876,0.013827733,1.372105031,2.187449049,2.852566567,3.701811254
12.14202147,F,2.885883585,0.864747884,0.015248239,1.37316044,2.188285297,2.853224035,3.70224045
12.14902025,F,2.886127362,0.864658971,0.016668413,1.374215623,2.189121385,2.853881396,3.702669605
12.15601903,F,2.886370984,0.864570137,0.018088255,1.375270582,2.189957313,2.854538649,3.70309872
12.16301781,F,2.886614452,0.864481381,0.019507766,1.376325317,2.190793081,2.855195794,3.703527794
12.17001659,F,2.886857766,0.864392705,0.020926944,1.377379827,2.191628688,2.855852832,3.703956829
12.17701537,F,2.887100925,0.864304107,0.02234579,1.378434113,2.192464136,2.856509763,3.704385823
12.18401415,F,2.88734393,0.864215588,0.023764305,1.379488174,2.193299424,2.857166586,3.704814776
12.19101293,F,2.887586781,0.864127148,0.025182488,1.38054201,2.194134552,2.857823302,3.705243689
12.19801171,F,2.887829477,0.864038787,0.026600339,1.381595623,2.194969519,2.85847991,3.705672562
12.20501049,F,2.888072019,0.863950504,0.028017859,1.382649011,2.195804327,2.859136411,3.706101394
12.21200927,F,2.888314406,0.8638623,0.029435047,1.383702174,2.196638975,2.859792804,3.706530185
12.21900805,F,2.888556639,0.863774175,0.030851904,1.384755114,2.197473462,2.860449089,3.706958936
12.22600683,F,2.888798718,0.863686128,0.032268429,1.385807829,2.19830779,2.861105267,3.707387647
12.23300561,F,2.889040642,0.86359816,0.033684623,1.38686032,2.199141958,2.861761338,3.707816317
12.24000439,F,2.889282412,0.86351027,0.035100486,1.387912586,2.199975966,2.862417301,3.708244946
